sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
新營,臺南市,47,,良好,0.1,0.2,2.4,12,31,3,6.5,8.2,1.6,0.3,153,"2024-05-27 01:00",,0.3,14.5,34,1,120.31725,23.305633,43
嘉義,嘉義市,42,,良好,1.1,0.24,2.3,10.6,24,7,9.6,12.2,2.6,1.5,108,"2024-05-27 01:00",,0.3,12.9,27,1,120.44125148,23.46477865,42
臺西,雲林縣,46,,良好,1.2,0.22,11.2,14,30,15,8.1,8.9,0.8,0.8,167,"2024-05-27 01:00",,0.2,14.2,30,1,120.19933333,23.702175,41
朴子,嘉義縣,67,細懸浮微粒,普通,0.7,0.4,,8.4,43,24,13.7,17.1,3.4,0.5,137,"2024-05-27 01:00",,0.3,22.1,31,1,120.2478,23.46538,40
新港,嘉義縣,73,細懸浮微粒,普通,1,0.38,4,13.5,54,27,11.2,13.6,2.3,0.2,135,"2024-05-27 01:00",,0.3,24.6,40,1,120.345531,23.554839,39
崙背,雲林縣,62,細懸浮微粒,普通,0.6,0.27,1.3,11.9,51,19,7.7,9.5,1.7,0.2,164,"2024-05-27 01:00",,0.2,19.8,32,1,120.348742,23.757547,38
斗六,雲林縣,78,細懸浮微粒,普通,1.4,0.34,6.8,18.9,40,23,11.3,12.4,1,0.6,143,"2024-05-27 01:00",,0.3,26.6,45,1,120.544994,23.711853,37
南投,南投縣,76,細懸浮微粒,普通,0.5,0.29,6.8,14.3,43,26,6.2,6.6,0.4,0.2,165,"2024-05-27 01:00",,0.3,25.7,41,0,120.685306,23.913,36
二林,彰化縣,62,細懸浮微粒,普通,0,0.2,7.5,16.3,34,22,7.2,7.7,0.5,0.2,156,"2024-05-27 01:00",,0.1,20,30,0,120.409653,23.925175,35
線西,彰化縣,45,,良好,1,0.24,14.5,22.4,31,15,10.1,11.6,1.5,0.3,18,"2024-05-27 01:00",,0.1,13.8,22,1,120.469061,24.131672,34
彰化,彰化縣,43,,良好,1,0.23,15.1,16.6,28,16,10.2,11,0.8,0.7,154,"2024-05-27 01:00",,0.2,13.2,21,1,120.541519,24.066,33
西屯,臺中市,58,細懸浮微粒,普通,1,0.33,4,14.6,26,16,18.4,21.8,3.4,0.6,212,"2024-05-27 01:00",,0.2,18.3,28,1,120.616917,24.162197,32
忠明,臺中市,54,細懸浮微粒,普通,1.6,0.35,10.4,17.3,20,11,14,15.1,1.1,0.4,185,"2024-05-27 01:00",,0.3,16.8,25,1,120.641092,24.151958,31
大里,臺中市,65,細懸浮微粒,普通,1,0.35,7.3,14.7,29,24,13.5,14,0.5,0.5,254,"2024-05-27 01:00",,0.3,21.1,26,1,120.67844444,24.09961111,30
沙鹿,臺中市,61,細懸浮微粒,普通,1.2,0.42,6,18.7,25,23,20.4,22.2,1.8,0.3,55,"2024-05-27 01:00",,0.3,19.5,26,1,120.568794,24.225628,29
豐原,臺中市,76,細懸浮微粒,普通,1.5,0.31,7.6,15.8,29,23,8.1,9.4,1.3,1.5,114,"2024-05-27 01:00",,0.3,25.5,35,1,120.74252414,24.25699731,28
三義,苗栗縣,72,細懸浮微粒,普通,1.1,0.38,11.1,23.4,41,28,9,10.8,1.8,0.3,276,"2024-05-27 01:00",,0.2,23.9,33,1,120.75956754,24.38248443,27
苗栗,苗栗縣,58,細懸浮微粒,普通,1,0.23,6.1,24.4,22,16,10.3,11.5,1.2,1.1,161,"2024-05-27 01:00",,0.1,18.2,20,1,120.82011468,24.56499183,26
頭份,苗栗縣,52,細懸浮微粒,普通,1,0.23,12,20.3,26,18,8.4,9.4,1,1.3,120,"2024-05-27 01:00",,0.2,16,24,1,120.89869286,24.69690679,25
新竹,新竹市,38,,良好,0.2,0.4,5.9,24.0,26,16,23.5,24,0.4,0.6,164,"2024-05-27 01:00",,0.3,11.7,18,0,120.97236752,24.8056356,24
竹東,新竹縣,57,細懸浮微粒,普通,1,0.23,9.6,22.2,29,22,5.6,6.6,0.9,0.6,110,"2024-05-27 01:00",,0.2,17.9,25,0,121.08895493,24.74091408,23
湖口,新竹縣,61,細懸浮微粒,普通,1.5,0.31,8.7,27.3,22,19,15.6,17.2,1.6,0.6,141,"2024-05-27 01:00",,0.2,19.5,23,1,121.03886894,24.90009696,22
龍潭,桃園市,56,細懸浮微粒,普通,1.1,0.33,14.5,30.5,34,16,13.8,14.5,0.6,0.6,230,"2024-05-27 01:00",,0.3,17.7,26,1,121.21645772,24.86400048,21
